Date,Open,High,Low,Close
6/9/2023,0.3252,0.3252,0.2983,0.3014
6/8/2023,0.323,0.3306,0.3194,0.3252
6/7/2023,0.3522,0.3545,0.318,0.3231
6/6/2023,0.3503,0.3568,0.3369,0.3519
6/5/2023,0.3809,0.3817,0.3473,0.3503
6/4/2023,0.3747,0.3818,0.3738,0.3809
6/3/2023,0.3778,0.3789,0.3734,0.3747
6/2/2023,0.3659,0.3794,0.3625,0.3779
6/1/2023,0.3757,0.3764,0.3611,0.3659
5/31/2023,0.3776,0.3805,0.3704,0.3757
5/30/2023,0.3792,0.3832,0.3749,0.3779
5/29/2023,0.3777,0.3863,0.3759,0.3792
5/28/2023,0.3654,0.3793,0.3654,0.3777
5/27/2023,0.365,0.3673,0.3616,0.3654
5/26/2023,0.3585,0.3669,0.3539,0.365
5/25/2023,0.3648,0.365,0.355,0.3585
5/24/2023,0.3714,0.3714,0.3601,0.3648
5/23/2023,0.3699,0.3753,0.3661,0.3714
5/22/2023,0.3593,0.3739,0.3567,0.3699
5/21/2023,0.3653,0.3675,0.3584,0.3599
5/20/2023,0.3671,0.3687,0.364,0.3653
5/19/2023,0.3711,0.3754,0.3663,0.3671
5/18/2023,0.3762,0.3801,0.3658,0.3711
5/17/2023,0.365,0.3805,0.3643,0.3762
5/16/2023,0.3684,0.3706,0.3617,0.3652
5/15/2023,0.3691,0.3755,0.3666,0.3684
5/14/2023,0.3657,0.3728,0.3635,0.3691
5/13/2023,0.3614,0.3708,0.3614,0.3657
5/12/2023,0.3572,0.3676,0.3543,0.3614
5/11/2023,0.3719,0.3719,0.3488,0.3572
5/10/2023,0.3627,0.373,0.3551,0.3719
5/9/2023,0.3627,0.3702,0.3603,0.3627
5/8/2023,0.3791,0.3812,0.3538,0.3627
5/7/2023,0.3797,0.3837,0.3782,0.3791
5/6/2023,0.3947,0.3973,0.3747,0.3797
5/5/2023,0.3867,0.3979,0.3845,0.3947
5/4/2023,0.3846,0.3963,0.3846,0.3865
5/3/2023,0.3925,0.3927,0.3789,0.3844
5/2/2023,0.3824,0.3949,0.3819,0.3925
5/1/2023,0.3971,0.3997,0.3808,0.3824
4/30/2023,0.4036,0.4149,0.3951,0.3971
4/29/2023,0.4052,0.4081,0.3999,0.4036
4/28/2023,0.4111,0.4122,0.3979,0.4052
4/27/2023,0.3924,0.4192,0.3894,0.4108
4/26/2023,0.3899,0.4168,0.38,0.3924
4/25/2023,0.3833,0.3902,0.377,0.3899
