Date,Open,High,Low,Close
6/9/2023,"1,853.42","1,854.61","1,828.33","1,835.97"
6/8/2023,"1,841.54","1,861.27","1,821.42","1,853.42"
6/7/2023,"1,876.99","1,894.95","1,833.42","1,841.52"
6/6/2023,"1,804.97","1,896.00","1,796.90","1,876.99"
6/5/2023,"1,903.70","1,911.87","1,783.90","1,804.84"
6/4/2023,"1,888.01","1,910.92","1,884.92","1,904.47"
6/3/2023,"1,905.30","1,909.90","1,885.21","1,888.02"
6/2/2023,"1,869.22","1,910.28","1,851.85","1,905.58"
6/1/2023,"1,865.89","1,888.20","1,842.92","1,869.00"
5/31/2023,"1,904.12","1,913.71","1,848.89","1,865.88"
5/30/2023,"1,892.86","1,916.32","1,883.13","1,904.12"
5/29/2023,"1,854.70","1,926.74","1,854.69","1,893.48"
5/28/2023,"1,828.04","1,860.12","1,825.21","1,854.69"
5/27/2023,"1,835.35","1,836.33","1,818.00","1,827.72"
5/26/2023,"1,810.00","1,838.20","1,797.75","1,835.42"
5/25/2023,"1,804.27","1,815.67","1,763.42","1,809.86"
5/24/2023,"1,854.85","1,856.40","1,778.31","1,804.97"
5/23/2023,"1,818.29","1,870.02","1,815.35","1,854.86"
5/22/2023,"1,806.09","1,826.47","1,791.93","1,818.16"
5/21/2023,"1,817.13","1,828.54","1,803.26","1,806.42"
5/20/2023,"1,812.42","1,829.00","1,807.64","1,817.13"
5/19/2023,"1,796.78","1,828.83","1,796.50","1,812.70"
5/18/2023,"1,826.20","1,831.73","1,773.78","1,796.79"
5/17/2023,"1,821.43","1,835.92","1,786.40","1,826.20"
5/16/2023,"1,826.27","1,831.00","1,796.99","1,821.41"
5/15/2023,"1,799.10","1,846.06","1,786.36","1,826.27"
5/14/2023,"1,804.25","1,823.86","1,790.98","1,799.10"
5/13/2023,"1,788.28","1,816.45","1,788.28","1,804.40"
5/12/2023,"1,796.09","1,800.45","1,741.08","1,788.28"
5/11/2023,"1,858.74","1,858.74","1,774.20","1,796.09"
5/10/2023,"1,848.64","1,888.97","1,792.57","1,858.80"
5/9/2023,"1,841.66","1,862.60","1,832.54","1,848.64"
5/8/2023,"1,913.16","1,923.66","1,813.10","1,840.91"
5/7/2023,"1,898.07","1,934.98","1,888.48","1,913.16"
5/6/2023,"1,990.71","2,018.49","1,868.65","1,898.07"
5/5/2023,"1,878.01","2,000.00","1,871.34","1,990.86"
5/4/2023,"1,874.03","1,917.00","1,868.26","1,878.06"
5/3/2023,"1,870.34","1,892.98","1,845.09","1,874.03"
5/2/2023,"1,808.25","1,880.85","1,808.25","1,870.08"
5/1/2023,"1,892.94","1,897.67","1,808.52","1,809.79"
4/30/2023,"1,904.53","1,938.70","1,881.39","1,892.35"
